Date,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CCU.SN,CENCOMALLS.SN,CENCOSUD.SN,CHILE.SN,CMPC.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,ECL.SN,ENELAM.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,IAM.SN,ITAUCL.SN,LTM.SN,MALLPLAZA.SN,ORO-BLANCO.SN,PARAUCO.SN,QUINENCO.SN,RIPLEY.SN,SMU.SN,SONDA.SN,SOQUICOM.SN,VAPORES.SN
2019-11-25,241.93865966796875,1462.7799072265625,20013.662109375,33.12079620361328,3418.4833984375,5736.017578125,1013.47900390625,790.723388671875,63.73700714111328,1646.56396484375,114.49803161621094,1215.5064697265625,6398.62109375,999.6884155273438,154.42202758789062,48.28965759277344,2617.061279296875,3054.0244140625,533.822509765625,17151.560546875,470.9610290527344,1392.9310302734375,2.193932056427002,1612.4998779296875,822.820068359375,244.6806640625,93.82447052001953,552.4786987304688,133.6608123779297,24.481782913208008
2019-12-02,233.3053741455078,1541.1990966796875,21137.2734375,33.91470718383789,3457.047607421875,5658.60791015625,1103.203857421875,836.2382202148438,65.96040344238281,1744.60302734375,126.50731658935547,1184.2745361328125,6798.53515625,1099.6573486328125,159.9813995361328,55.98209762573242,2857.80322265625,3058.846923828125,540.303466796875,17335.943359375,478.5418701171875,1498.8697509765625,2.173384666442871,1715.325927734375,825.3812255859375,259.50604248046875,95.76567077636719,558.81787109375,135.5753173828125,24.734174728393555
2019-12-09,250.02781677246094,1616.193359375,20909.212890625,34.36947250366211,3757.717529296875,5766.98095703125,1153.09814453125,786.8662109375,67.87173461914062,1868.307373046875,127.88610076904297,1170.431640625,7197.44873046875,1167.5361328125,168.9803466796875,58.205074310302734,2833.67529296875,3242.283203125,571.661865234375,18866.71875,484.9521789550781,1480.3651123046875,2.4563827514648438,1672.1390380859375,839.98486328125,257.2745666503906,97.57744598388672,549.1275024414062,135.5753173828125,25.47264862060547
2019-12-16,241.8135986328125,1519.8638916015625,19029.109375,33.92241668701172,3790.39892578125,5658.60791015625,1126.875244140625,763.7308349609375,64.16609191894531,1778.6663818359375,119.78815460205078,1131.0963134765625,6651.56640625,1127.6873779296875,165.98068237304688,57.49340057373047,2962.35693359375,3021.02490234375,557.948974609375,18540.837890625,490.52630615234375,1493.318359375,2.363924980163574,1707.84765625,825.6536254882812,245.02340698242188,97.46096801757812,518.4409790039062,135.5753173828125,25.519386291503906
2019-12-23,236.7174835205078,1541.3416748046875,18801.052734375,33.29037094116211,3712.5517578125,5699.52001953125,1162.24072265625,767.5802612304688,61.63064956665039,1768.192626953125,119.33853149414062,1177.521728515625,6848.5244140625,1118.68994140625,164.9807891845703,56.85369110107422,2878.713623046875,3087.213134765625,563.038818359375,18390.759765625,423.6363830566406,1444.28125,2.363924980163574,1729.3477783203125,836.71533203125,244.294189453125,93.1773910522461,515.8648681640625,135.5753173828125,25.49134063720703
2019-12-30,238.26177978515625,1547.6923828125,19774.4765625,34.90131759643555,3791.83642578125,5847.91015625,1201.2913818359375,798.3607177734375,66.0774154663086,1811.6922607421875,130.63893127441406,1222.4403076171875,7188.45068359375,1159.6787109375,169.98020935058594,59.17262268066406,2948.952392578125,3167.584716796875,564.0375366210938,19552.78125,435.3309631347656,1471.1129150390625,2.3405754566192627,1775.152099609375,838.9495849609375,262.2115173339844,97.75215911865234,530.9173583984375,131.46694946289062,25.416561126708984
2020-01-06,248.77767944335938,1569.098876953125,20803.529296875,35.98813247680664,3712.61669921875,6098.25146484375,1228.2230224609375,808.3894653320312,69.04193115234375,1962.6666259765625,128.7904815673828,1260.9456787109375,7588.36474609375,1214.5633544921875,172.3799285888672,61.491546630859375,3082.45947265625,3373.8154296875,578.5424194335938,18858.142578125,414.444580078125,1540.1348876953125,2.457324266433716,1868.536865234375,852.7903442382812,304.091552734375,95.07978820800781,561.2406005859375,130.645263671875,25.69699478149414
2020-01-13,236.27626037597656,1603.3494873046875,20248.396484375,33.60639190673828,3536.13720703125,5824.61181640625,1192.432373046875,815.4095458984375,64.01786041259766,1959.835693359375,127.77135467529297,1201.6220703125,7797.3203125,1226.659912109375,170.9700927734375,61.651466369628906,2922.143798828125,3088.7041015625,562.0057373046875,17198.728515625,391.5849304199219,1471.205322265625,2.708566427230835,1734.9564208984375,817.3709106445312,319.3253173828125,95.78507232666016,528.6884765625,130.645263671875,24.481782913208008
2020-01-20,230.6581573486328,1516.296142578125,18856.673828125,32.049400329589844,3398.874267578125,5497.18310546875,1154.9407958984375,794.0406494140625,61.34199905395508,1821.1279296875,120.09788513183594,1211.015625,7298.4267578125,1124.6883544921875,157.77162170410156,61.25165939331055,2884.61181640625,3031.777099609375,523.4569702148438,16937.16796875,374.02630615234375,1343.2462158203125,2.6712076663970947,1682.608642578125,771.0532836914062,284.47509765625,91.8768081665039,492.6480407714844,133.93194580078125,24.444393157958984
2020-01-27,225.3988494873047,1507.93359375,18585.78125,30.51552963256836,3111.27734375,5523.60888671875,1161.602783203125,763.7230834960938,61.47462463378906,1731.4869384765625,116.4010238647461,1216.770263671875,7138.46142578125,1119.78955078125,157.68313598632812,60.69192123413086,2814.908935546875,2984.16357421875,531.0437622070312,16679.892578125,370.5703430175781,1332.4210205078125,2.6151678562164307,1710.6519775390625,751.7088012695312,272.30413818359375,89.87735748291016,499.82708740234375,133.93194580078125,23.52831268310547
