,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CCU.SN,CENCOMALLS.SN,CENCOSUD.SN,CHILE.SN,CMPC.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,ECL.SN,ENELAM.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,IAM.SN,ITAUCL.SN,LTM.SN,MALLPLAZA.SN,ORO-BLANCO.SN,PARAUCO.SN,QUINENCO.SN,RIPLEY.SN,SMU.SN,SONDA.SN,SOQUICOM.SN,VAPORES.SN
count,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
mean,199.03318014945694,1735.602534869245,20190.79587980081,34.62709222313102,6189.069598248897,5320.445940556417,1039.9003766474832,1289.5723256118424,77.74006425697385,1606.9724377348223,109.07711512441854,1077.5496735318015,6538.187775822997,744.1784236995319,106.20211358106774,42.71903915259674,2644.62059708224,2441.4463086310234,483.6831715125164,9444.873613430344,60.48210726257499,1110.786015867277,4.926698240160032,1143.9340025923634,1727.986439362737,174.24645416609204,102.79487560359576,368.2242329721232,228.52891429872003,54.910320900778736
std,52.767037584939295,501.06315107687385,3730.477523707552,6.634078781524365,1770.2833926385917,627.3631939416838,253.57544631662307,336.61934128523353,18.95644239417772,195.77573486307452,25.384065999239354,88.87333226735822,792.7686115964334,219.70147061868326,16.940218239930754,11.333930296964692,340.1802687701461,494.64821093122765,141.0004514729226,2270.759510728141,95.35035228344854,246.52452172916873,2.21196006879566,294.4592650748978,931.4076388002345,49.862031902010244,36.91308434102302,70.70832848269959,61.679171470637925,22.737578549210188
min,110.37833404541016,1147.2391357421875,13767.0419921875,21.440296173095703,1830.1632080078125,3439.0615234375,559.2561645507812,479.0627136230469,49.021663665771484,1231.833984375,51.48644256591797,846.17919921875,4249.08447265625,338.2799987792969,85.19780731201172,18.940183639526367,1606.045166015625,1511.0889892578125,269.78973388671875,6594.89501953125,5.046999931335449,652.7801513671875,1.2197887897491455,609.998779296875,496.7218017578125,98.89314270019531,50.14132308959961,206.043212890625,118.34323120117188,13.170994758605957
25%,158.7272720336914,1384.7705383300781,17680.53271484375,30.15887689590454,5223.72216796875,4886.4566650390625,822.3841094970703,1082.2467346191406,62.256813049316406,1477.1956787109375,91.46688079833984,1006.5424041748047,6069.132080078125,529.3874969482422,95.01816940307617,33.878403663635254,2428.1091918945312,2016.2074584960938,368.14109802246094,8020.7410888671875,11.25,925.2698211669922,3.10337895154953,898.9902648925781,827.8484954833984,134.92915725708008,72.23480606079102,325.61804962158203,179.38039016723633,35.237114906311035
50%,180.2011947631836,1488.42236328125,18932.7041015625,33.47210693359375,6229.904541015625,5333.361328125,1030.7117309570312,1226.5980224609375,74.7945671081543,1572.5411376953125,120.04894256591797,1086.9044799804688,6378.0,818.9400024414062,101.98738479614258,46.43414115905762,2674.8525390625,2425.9066162109375,439.245849609375,8796.68701171875,15.00570011138916,1087.9495239257812,4.518500089645386,1134.4675903320312,1681.1771240234375,164.13408660888672,90.21110534667969,370.9724884033203,238.66350555419922,57.84079933166504
75%,254.84540557861328,1942.1724548339844,21986.70849609375,38.93784999847412,7035.1082763671875,5765.027587890625,1229.7417297363281,1560.5003662109375,91.17999839782715,1699.5243835449219,127.14130592346191,1153.5267944335938,6923.327880859375,884.6123962402344,112.06610870361328,51.85309314727783,2929.302490234375,2805.5697021484375,617.2330932617188,10249.56103515625,71.28105545043945,1306.9415588378906,6.894712567329407,1383.2292175292969,2554.159423828125,198.77252960205078,144.47218704223633,407.53565979003906,283.90250396728516,70.37269973754883
max,298.989990234375,2983.859619140625,29084.0,49.0,10237.4609375,6669.12744140625,1506.0,2030.0,117.4000015258789,2218.1142578125,143.04745483398438,1273.8662109375,9031.1298828125,1226.6600341796875,172.3799285888672,62.817867279052734,3357.4638671875,3580.0,739.0,19552.779296875,490.52630615234375,1601.699951171875,9.497450828552246,1868.536865234375,3370.0,319.3253479003906,183.16018676757812,561.240478515625,344.874267578125,117.71904754638672
